RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
97007,602,92707,zip,CA,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.120045,2644.607056,2695.889265,2744.343248,,2807.538023,2802.974964,2741.949608,2734.138832,2731.204938,2748.732881,2668.649609,2691.867431,2706.117503,2792.068383,2778.883249,2783.809945,2793.936892,2823.206172,2816.966618,2800.787704,2849.269792,2855.383334,2873.953037,2781.2281,2773.017738,2814.881407,2828.171015,2840.660793,2831.796069,2879.84362,2894.971608,2876.847533,2899.40358,2928.685742,2945.217949
96047,605,90066,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1867.416797,1905.434332,1889.111192,1908.58235,1882.871588,1894.473586,1960.159992,2016.71152,2078.581141,2082.007299,2059.999123,2047.189674,2083.32606,2090.973478,2078.522831,2069.144456,2081.657979,2104.164737,2095.028495,2129.230381,2174.320088,2175.179667,2184.361383,2176.822721,2188.62401,2192.83816,2206.405032,2210.130574,2191.015507,2209.247307,2227.668858,2279.020996,2255.615553,2268.386793,2247.795724,2273.4555,2283.208185,2299.339355,2290.152651,2292.239184,2316.399272,2340.360828,2337.480403,2326.119695,2333.551083,2352.039552,2333.885932,2327.410778,2344.082001,2380.618903,2415.69891,2422.958663,2427.611347,2421.859793,2449.614918,2478.104436,2475.400796,2444.916771,2436.459179,2425.230557,2443.646361,2454.546781,2486.42734,2448.020608,2428.618662,2420.667817,2429.260545,2403.122581,2362.548075,2344.356803,2323.696874,2318.477971,2313.439336,2319.814743,2323.270667,2318.203864,2343.961251,2357.666404,2406.960619,2431.940949,2469.601989,2494.915531,2508.542929,2550.176466,2565.533786,2592.857575,2602.67766,2631.576504,2673.01824,2686.043436,2723.404408,2758.997633,2788.124074,2773.537903,2746.368033,2724.202067,2742.601366,2767.86879,2793.244253,2783.495892,2767.856068,2775.687196,2782.354618,2788.396647,2798.113274,2809.982981,2801.887552,2791.717513,2782.146686,2801.743326,2824.009263,2847.607759,2852.070567,2830.339683,2807.632013,2799.662424,2817.38015,2817.096558,2823.674327,2800.733726
96504,606,91764,zip,CA,CA,Ontario,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.518173,1653.191919,1705.821225,1728.577368,1721.636949,1722.371804,1725.553835,1729.065399,1724.357555,1729.17376,1709.946237,1736.237645,1758.996052,1797.142888,1809.318691,1811.531802,1821.813601,1807.969358,1809.260136,1815.931574,1833.360136,1822.904704,1809.501917,1800.821285,1818.006866,1856.956782,1867.735695,1855.994883,1834.274773,1826.361149,1843.21321,1852.039923,1852.082755,1847.134741,1845.92088,1853.169443,1853.199649,1868.384465,1902.82908,1938.101444,1957.129931,1973.813267,2006.412188,2026.738563,2043.892783,2056.072401,2084.725545,2145.569652,2219.606289,2287.032975,2340.337067,2350.185997,2349.369757,2336.244768,2367.575939,2411.261527,2441.102684,2457.009692,2477.235673,2492.936062,2493.346927,2495.824161,2504.865961,2480.715802,2445.876751,2416.197638,2412.202054,2417.350059,2412.772215,2462.312325,2497.967056,2542.366726,2535.37614,2540.997407,2516.9291,2499.963621,2471.327344,2474.775816,2460.80487,2455.863786,2469.282726,2477.903963,2511.391989,2502.42088,2522.969423,2525.100524,2537.780328,2543.258758,2556.704137,2547.077718,2552.433664
97993,610,95125,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,,,,,,,,,,,,,,,,,,,,,,,,2763.024749,2723.653918,2707.82888,2771.928221,2827.368859,2854.373636,2862.878508,2851.683144,2857.435386,2815.525805,2808.423577,2775.209942,2806.699981,2812.244371,2814.083581,2833.05135,2878.612672,2965.625536,3020.158023,3027.07112,3019.978119,2977.975396,2960.216555,2945.244745,2958.948363,2941.432614,2935.937831,2943.709897,2998.801547,3027.608723,3058.156182,3057.076257,3074.75117,3056.995175,3037.606416,3022.582891,3041.164031,3045.010595,3038.859406,3032.146699,3042.028369,3045.877956,3046.282629,3046.743204,3037.720574,3015.976064,3017.625187,3019.977432,2981.66677,2958.507134,2940.708371,2957.309039,2957.855099,2987.291974,3013.275217,3057.46388,3083.596042,3115.969699,3092.151136,3083.611724,3102.776664,3150.99063,3187.210327,3181.746368,3193.830785,3220.55791,3271.762414,3305.137607,3330.127214,3348.970297,3366.88015,3353.603436,3317.183706,3286.950485,3301.550403,3341.268452,3350.256002,3362.144239,3365.083149,3392.738546,3386.602256,3409.032057,3392.248988,3404.111376,3360.64652,3384.64332,3389.6308,3458.155258,3462.469256,3486.75881,3522.97884,3567.484968,3589.45691,3571.396292,3560.117099,3534.606803,3517.268519
97286,620,93458,zip,CA,CA,Santa Maria,"Santa Maria-Santa Barbara, CA",Santa Barbara County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2428.063644,2426.396446,2435.436513,2346.364562,2270.253857,2179.509659,2158.605303,2177.257017,2221.470213,,2211.442643,2197.162587,2221.823267,2265.754104,2299.98497,2336.110895,2307.038337,2257.698939,2232.220372,2197.201702,2195.818326,2214.754117,2345.910139,2381.513603,2392.719351,2367.237728,2432.615248,2485.80346,2431.107064,2447.697243,2377.614815
96883,621,92504,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.406018,2302.443214,2288.303721,2298.227767,2297.721604,2373.189728,2372.719216,2333.985504,2304.738707,2339.475759,2381.171306,2399.681308,2416.887434,2419.563831,2375.532502,2393.372466,2428.132421,2489.796223,2474.036014,2472.399798,2488.618249,2538.079687,2536.009189,2533.074093,2485.954666,2454.688841,2466.167808,2475.771563,2546.493324,2587.777778
97116,626,93063,zip,CA,CA,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.192172,2536.415456,2594.608381,2639.052195,2700.289077,2737.326135,2744.205752,2755.838347,2775.03117,2845.77712,2806.439289,2793.825184,2774.642379,2827.318842,2883.398069,2923.876811,2978.908898,3020.89401,3012.935938,3010.381603,3028.931701,2962.028994,2966.871208,2974.357647,3077.164822,3100.365583,3039.480826,3067.825586,3088.8436,3143.691729,3151.972313,3166.011419,3195.921844,3160.110251,3149.13239,3196.891297,3246.479504,3258.927511,3225.007081,3195.051381,3273.713148,3271.67459,3375.063051,3322.461651,3420.98596,3378.005946,3436.348838,3396.417175,3440.506349
96245,632,90813,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,1178.485501,1157.964566,1179.381932,1163.736773,1172.342471,1179.851032,1193.300916,1215.542563,1222.852099,1232.179907,1228.820282,1235.040214,1251.628937,1271.042042,1277.65599,1272.937857,1288.277884,1310.141264,1329.75923,1337.685632,1351.356295,1369.131945,1373.238417,1364.682594,1384.332408,1404.812033,1424.907858,1432.983057,1439.03749,1449.438546,1453.149207,1478.157391,1485.591731,1477.777049,1467.70544,1470.318363,1502.935838,1525.876749,1533.068924,1529.961614,1526.474627,1538.827414,1541.142717,1534.399713,1528.460439,1536.065883,1541.846286,1550.34346,1537.222508,1547.584973,1547.406536,1565.775461,1570.650187,1582.792828,1588.633698,1593.228048,1591.229527,1597.827389,1606.902975,1626.595905,1637.349161,1647.365335,1652.85629,1662.349476,1661.837804,1668.947449,1675.159999,1692.594159,1711.048881,1739.904485,1759.79103,1764.229561,1768.340543,1774.019528,1791.304374,1794.846978,1810.330787,1827.63891,1828.995683,1827.100323,1834.687713,1843.322864,1853.484561,1857.625774,1876.465637,1875.244565,1875.310322,1867.416646,1866.706137,1865.265278,1869.525065,1891.633061,1897.045994,1900.450249,1927.832099,1933.068496,1948.395064,1907.750324,1925.713933,1923.962832,1944.683622,1915.888552,1915.624721,1901.919613
96228,644,90744,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.801998,1878.526563,1862.296451,1889.283609,1918.379567,1837.747864,1809.474958,1817.809287,1881.789416,1924.793039,1913.206864,2037.888889
97933,645,95023,zip,CA,CA,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",San Benito County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796.4318,2688.209916,2697.297719,2727.943858,2880.295842,2886.506557,2875.375379,2856.717951,2855.808964,2832.694959,2809.117591,2831.851313,2847.719541,2887.287335,2874.24583,2960.668742,2938.012999,2963.221721,2919.063404,2968.471532,3008.656343,2985.01069,2962.449872,2988.479585,2963.333333
